id,input_context,output_context,vision,reasoning,tool
ocz/mimo-v2.5-free,1048576,131072,1,1,1
ocz/muse-spark-1.2-contributor-free,128000,0,-1,1,1
ocz/nemotron-3-ultra-free,128000,0,-1,1,1
ocz/nemotron-3.5-lightning-free,128000,0,-1,1,1
opencode-zen/deepseek-v4-flash-free,200000,128000,0,1,1
opencode-zen/hy3-free,190000,64000,0,1,1
opencode-zen/laguna-s-2.1-free,256000,32000,0,1,1
opencode-zen/ling-3.0-flash-fin-free,200000,0,-1,1,1
opencode-zen/mimo-v2.5-free,200000,32000,1,1,1
opencode-zen/muse-spark-1.2-contributor-free,200000,0,-1,1,1
opencode-zen/nemotron-3-ultra-free,1000000,128000,0,1,1
opencode-zen/nemotron-3.5-lightning-free,200000,0,-1,1,1
qwn/Qwen/Qwen3.8-27B,128000,0,-1,1,1
tabit/claude-opus-4-8,1000000,128000,1,1,1
tabit/claude-opus-4-8-thinking,1000000,128000,1,1,1
tabit/claude-opus-4-8-thinking-xhigh,1000000,128000,1,1,1
tabit/claude-opus-4-8-xhigh,1000000,128000,1,1,1
tabit/claude-opus-5,1000000,128000,1,1,1
tabit/claude-opus-5-thinking,1000000,128000,1,1,1
tabit/claude-opus-5-thinking-xhigh,1000000,128000,1,1,1
tabit/claude-opus-5-xhigh,1000000,128000,1,1,1
trk/nemotron-3-nano-omni-30b-a3b-reasoning:free,128000,0,-1,1,1
trk/qwen3.8-max-free,128000,0,-1,1,1
trk/z-ai/glm-5.3-free,128000,0,-1,1,1
veo-free/seedance,0,0,-1,0,0
veo-free/veo,0,0,-1,0,0
veoaifree-web/seedance,0,0,-1,0,0
veoaifree-web/veo,0,0,-1,0,0
xllm/codex-auto-review,400000,0,-1,1,1
xllm/gpt-5.6-luna,1050000,128000,1,1,1
xllm/gpt-5.6-sol,1050000,128000,1,1,1
xllm/gpt-5.6-terra,1050000,128000,1,1,1
ze/MiniMax-M2.5,200000,131072,-1,1,1
ze/MiniMax-M2.7,204800,131072,-1,1,1
ze/MiniMax-M3,1048576,512000,1,1,1
ze/Qwen3.5-397B-A17B,128000,0,-1,1,1
ze/Qwen3.6-27B,128000,0,-1,1,1
ze/Qwen3.6-35B-A3B-FP8,128000,0,-1,1,1
ze/Qwen3.8-27B,128000,0,-1,1,1
ze/auto,128000,0,-1,1,1
ze/deepseek-v3.2,128000,0,-1,1,1
ze/deepseek-v4-flash,1000000,384000,-1,1,1
ze/deepseek-v4-flash-free,1000000,384000,-1,1,1
ze/deepseek-v4-pro,1000000,384000,-1,1,1
ze/doubao-seed-1-6-flash,128000,0,-1,1,1
ze/gemma4,128000,0,-1,1,1
ze/grape-2-pro,128000,0,-1,1,1
ze/grok-4.5,128000,0,-1,1,1
ze/grok-4.6,128000,0,-1,1,1
ze/kat-coder-pro-v2.5,128000,0,-1,1,1
ze/laguna-s-2.1-free,128000,0,-1,1,1
ze/nemotron-3-ultra-free,128000,0,-1,1,1
ze/nemotron-3.5-lightning-free,128000,0,-1,1,1
ze/sensenova-6.7-flash-lite,128000,0,-1,1,1
ze/sensenova-6.8-flash-lite,128000,0,-1,1,1
ze/step-explore,128000,0,-1,1,1
ze/z-ai/glm-5.2,128000,0,-1,1,1
ze/牛来,128000,0,-1,1,1
